Code,Name,Type,Latitude,Longitude,Date_Opened,Date_Closed,Species
GHSR,Glasgow_High_Street,URBAN_TRAFFIC,55.86093600,-4.238214000,20150127,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,vPM10,nvPM2p5,vPM2p5"
GLA4,Glasgow_Kerbside,URBAN_TRAFFIC,55.85917000,-4.258889000,19970310,0,"CO,NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
GLKP,Glasgow_Townhead,URBAN_BACKGROUND,55.86578200,-4.243631000,20131007,0,"NO,NO2,NOx,O3,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
GLAZ,Glazebury,RURAL_BACKGROUND,53.46008000,-2.472056000,19880401,0,"NO,NO2,NOx,O3"
GRAN,Grangemouth,URBAN_INDUSTRIAL,56.01031900,-3.704399000,20010101,0,"CO,NO,NO2,NOx,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
GRA2,Grangemouth_Moray,URBAN_INDUSTRIAL,56.01314200,-3.710833000,20090601,0,"NO,NO2,NOx"
GDF,Great_Dun_Fell,RURAL_BACKGROUND,54.68423300,-2.450799000,19860509,0,O3
GKA8,Greenock_A8_Roadside,URBAN_TRAFFIC,55.94407900,-4.734421000,20160504,0,"NO,NO2,NOx"
CAE6,Haford-yr-yrns_Roadside,URBAN_TRAFFIC,51.68057900,-3.133508000,20141125,0,"NO,NO2,NOx"
HG1,Haringey_Roadside,URBAN_TRAFFIC,51.59930000,-0.068218000,19960516,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
HSAW,Hartlepool_St_Abbs_Walk,URBAN_BACKGROUND,54.68324200,-1.203838000,20171017,0,"NO,NO2,NOx"
HM,High_Muffles,RURAL_BACKGROUND,54.33494400,-0.808550000,19870716,0,"NO,NO2,NOx,O3"
HONI,Honiton,URBAN_BACKGROUND,50.79228700,-3.196702000,20120527,0,"NO,NO2,NOx"
HORE,Horley,SUBURBAN_INDUSTRIAL,51.16586500,-0.167734000,20071121,0,"NO,NO2,NOx"
HUL2,Hull_Freetown,URBAN_BACKGROUND,53.74878000,-0.341222000,20021106,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
HULR,Hull_Holderness_Road,URBAN_TRAFFIC,53.75897100,-0.305749000,20150101,0,"NO,NO2,NOx,PM10,nvPM10,vPM10"
IMGM,Immingham_Woodlands_Avenue,URBAN_BACKGROUND,53.61924100,-0.213324000,20171101,0,"NO,NO2,NOx"
INV2,Inverness,URBAN_TRAFFIC,57.48130800,-4.241451000,20010717,0,"CO,NO,NO2,NOx,PM10,PM2p5"
LB,Ladybower,RURAL_BACKGROUND,53.40337000,-1.752006000,19880715,0,"NO,NO2,NOx,O3,SO2"
LEAM,Leamington_Spa,URBAN_BACKGROUND,52.28881000,-1.533119000,19960726,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
LEAR,Leamington_Spa_Rugby_Road,URBAN_TRAFFIC,52.29488400,-1.542911000,20120410,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
LEED,Leeds_Centre,URBAN_BACKGROUND,53.80378000,-1.546472000,19930104,0,"CO,NO,NO2,NOx,O3,PM10,PM2p5,SO2,nvPM10,nvPM2p5,vPM10,vPM2p5"
LED6,Leeds_Headingley_Kerbside,URBAN_TRAFFIC,53.81997200,-1.576361000,20080217,0,"NO,NO2,NOx,PM10,PM2p5,nvPM10,nvPM2p5,vPM10,vPM2p5"
LEIR,Leicester_A594_Roadside,URBAN_TRAFFIC,52.63867700,-1.124228000,20150501,0,"NO,NO2,NOx,PM10,nvPM10,vPM10"
LECU,Leicester_University,URBAN_BACKGROUND,52.61982300,-1.127311000,20130927,0,"NO,NO2,NOx,O3,PM2p5,nvPM2p5,vPM2p5"
LEOM,Leominster,SUBURBAN_BACKGROUND,52.22174000,-2.736665000,20050718,0,"NO,NO2,NOx,O3,SO2"
LERW,Lerwick,RURAL_BACKGROUND,60.13922000,-1.185319000,20050525,0,O3
LIN3,Lincoln_Canwick_Rd,URBAN_TRAFFIC,53.22137300,-0.534189000,20110727,0,"NO,NO2,NOx"
